value,date,realtime_start,realtime_end
752546,1998-11-01,2018-11-24,2018-11-24
755797,1998-12-01,2018-11-24,2018-11-24
757956,1999-01-01,2018-11-24,2018-11-24
765555,1999-02-01,2018-11-24,2018-11-24
765106,1999-03-01,2018-11-24,2018-11-24
769819,1999-04-01,2018-11-24,2018-11-24
780742,1999-05-01,2018-11-24,2018-11-24
782058,1999-06-01,2018-11-24,2018-11-24
785830,1999-07-01,2018-11-24,2018-11-24
795418,1999-08-01,2018-11-24,2018-11-24
796663,1999-09-01,2018-11-24,2018-11-24
805363,1999-10-01,2018-11-24,2018-11-24
809613,1999-11-01,2018-11-24,2018-11-24
817543,1999-12-01,2018-11-24,2018-11-24
825947,2000-01-01,2018-11-24,2018-11-24
816007,2000-02-01,2018-11-24,2018-11-24
831117,2000-03-01,2018-11-24,2018-11-24
834242,2000-04-01,2018-11-24,2018-11-24
829024,2000-05-01,2018-11-24,2018-11-24
839338,2000-06-01,2018-11-24,2018-11-24
833896,2000-07-01,2018-11-24,2018-11-24
829271,2000-08-01,2018-11-24,2018-11-24
845436,2000-09-01,2018-11-24,2018-11-24
838446,2000-10-01,2018-11-24,2018-11-24
834423,2000-11-01,2018-11-24,2018-11-24
841752,2000-12-01,2018-11-24,2018-11-24
834365,2001-01-01,2018-11-24,2018-11-24
836825,2001-02-01,2018-11-24,2018-11-24
823781,2001-03-01,2018-11-24,2018-11-24
818875,2001-04-01,2018-11-24,2018-11-24
827229,2001-05-01,2018-11-24,2018-11-24
815240,2001-06-01,2018-11-24,2018-11-24
812016,2001-07-01,2018-11-24,2018-11-24
817526,2001-08-01,2018-11-24,2018-11-24
803309,2001-09-01,2018-11-24,2018-11-24
815803,2001-10-01,2018-11-24,2018-11-24
808360,2001-11-01,2018-11-24,2018-11-24
805951,2001-12-01,2018-11-24,2018-11-24
804530,2002-01-01,2018-11-24,2018-11-24
808326,2002-02-01,2018-11-24,2018-11-24
809321,2002-03-01,2018-11-24,2018-11-24
821966,2002-04-01,2018-11-24,2018-11-24
821757,2002-05-01,2018-11-24,2018-11-24
825493,2002-06-01,2018-11-24,2018-11-24
825684,2002-07-01,2018-11-24,2018-11-24
834808,2002-08-01,2018-11-24,2018-11-24
831313,2002-09-01,2018-11-24,2018-11-24
830076,2002-10-01,2018-11-24,2018-11-24
837065,2002-11-01,2018-11-24,2018-11-24
830004,2002-12-01,2018-11-24,2018-11-24
841167,2003-01-01,2018-11-24,2018-11-24
841720,2003-02-01,2018-11-24,2018-11-24
851067,2003-03-01,2018-11-24,2018-11-24
835512,2003-04-01,2018-11-24,2018-11-24
837261,2003-05-01,2018-11-24,2018-11-24
848257,2003-06-01,2018-11-24,2018-11-24
856235,2003-07-01,2018-11-24,2018-11-24
859502,2003-08-01,2018-11-24,2018-11-24
865137,2003-09-01,2018-11-24,2018-11-24
868807,2003-10-01,2018-11-24,2018-11-24
874536,2003-11-01,2018-11-24,2018-11-24
876058,2003-12-01,2018-11-24,2018-11-24
877224,2004-01-01,2018-11-24,2018-11-24
887056,2004-02-01,2018-11-24,2018-11-24
911415,2004-03-01,2018-11-24,2018-11-24
906235,2004-04-01,2018-11-24,2018-11-24
915816,2004-05-01,2018-11-24,2018-11-24
915033,2004-06-01,2018-11-24,2018-11-24
918064,2004-07-01,2018-11-24,2018-11-24
928903,2004-08-01,2018-11-24,2018-11-24
936361,2004-09-01,2018-11-24,2018-11-24
950118,2004-10-01,2018-11-24,2018-11-24
956112,2004-11-01,2018-11-24,2018-11-24
967154,2004-12-01,2018-11-24,2018-11-24
973109,2005-01-01,2018-11-24,2018-11-24
978821,2005-02-01,2018-11-24,2018-11-24
978299,2005-03-01,2018-11-24,2018-11-24
994093,2005-04-01,2018-11-24,2018-11-24
987157,2005-05-01,2018-11-24,2018-11-24
998615,2005-06-01,2018-11-24,2018-11-24
1004388,2005-07-01,2018-11-24,2018-11-24
1014584,2005-08-01,2018-11-24,2018-11-24
1027808,2005-09-01,2018-11-24,2018-11-24
1035356,2005-10-01,2018-11-24,2018-11-24
1035428,2005-11-01,2018-11-24,2018-11-24
1045805,2005-12-01,2018-11-24,2018-11-24
1058093,2006-01-01,2018-11-24,2018-11-24
1056870,2006-02-01,2018-11-24,2018-11-24
1060517,2006-03-01,2018-11-24,2018-11-24
1059542,2006-04-01,2018-11-24,2018-11-24
1073415,2006-05-01,2018-11-24,2018-11-24
1075670,2006-06-01,2018-11-24,2018-11-24
1071586,2006-07-01,2018-11-24,2018-11-24
1083869,2006-08-01,2018-11-24,2018-11-24
1069648,2006-09-01,2018-11-24,2018-11-24
1064460,2006-10-01,2018-11-24,2018-11-24
1070091,2006-11-01,2018-11-24,2018-11-24
1095840,2006-12-01,2018-11-24,2018-11-24
1080662,2007-01-01,2018-11-24,2018-11-24
1095452,2007-02-01,2018-11-24,2018-11-24
1107453,2007-03-01,2018-11-24,2018-11-24
1114300,2007-04-01,2018-11-24,2018-11-24
1127458,2007-05-01,2018-11-24,2018-11-24
1126525,2007-06-01,2018-11-24,2018-11-24
1124713,2007-07-01,2018-11-24,2018-11-24
1131855,2007-08-01,2018-11-24,2018-11-24
1140107,2007-09-01,2018-11-24,2018-11-24
1153402,2007-10-01,2018-11-24,2018-11-24
1174049,2007-11-01,2018-11-24,2018-11-24
1162915,2007-12-01,2018-11-24,2018-11-24
1178502,2008-01-01,2018-11-24,2018-11-24
1173344,2008-02-01,2018-11-24,2018-11-24
1174953,2008-03-01,2018-11-24,2018-11-24
1194938,2008-04-01,2018-11-24,2018-11-24
1206031,2008-05-01,2018-11-24,2018-11-24
1222720,2008-06-01,2018-11-24,2018-11-24
1218574,2008-07-01,2018-11-24,2018-11-24
1196190,2008-08-01,2018-11-24,2018-11-24
1166753,2008-09-01,2018-11-24,2018-11-24
1115109,2008-10-01,2018-11-24,2018-11-24
1036942,2008-11-01,2018-11-24,2018-11-24
996433,2008-12-01,2018-11-24,2018-11-24
978269,2009-01-01,2018-11-24,2018-11-24
983360,2009-02-01,2018-11-24,2018-11-24
955238,2009-03-01,2018-11-24,2018-11-24
953004,2009-04-01,2018-11-24,2018-11-24
961260,2009-05-01,2018-11-24,2018-11-24
977883,2009-06-01,2018-11-24,2018-11-24
983403,2009-07-01,2018-11-24,2018-11-24
998937,2009-08-01,2018-11-24,2018-11-24
1000119,2009-09-01,2018-11-24,2018-11-24
1011475,2009-10-01,2018-11-24,2018-11-24
1028921,2009-11-01,2018-11-24,2018-11-24
1037009,2009-12-01,2018-11-24,2018-11-24
1046391,2010-01-01,2018-11-24,2018-11-24
1049379,2010-02-01,2018-11-24,2018-11-24
1069710,2010-03-01,2018-11-24,2018-11-24
1082144,2010-04-01,2018-11-24,2018-11-24
1075299,2010-05-01,2018-11-24,2018-11-24
1075924,2010-06-01,2018-11-24,2018-11-24
1085085,2010-07-01,2018-11-24,2018-11-24
1091694,2010-08-01,2018-11-24,2018-11-24
1098430,2010-09-01,2018-11-24,2018-11-24
1118537,2010-10-01,2018-11-24,2018-11-24
1128798,2010-11-01,2018-11-24,2018-11-24
1143215,2010-12-01,2018-11-24,2018-11-24
1168983,2011-01-01,2018-11-24,2018-11-24
1168138,2011-02-01,2018-11-24,2018-11-24
1195730,2011-03-01,2018-11-24,2018-11-24
1204526,2011-04-01,2018-11-24,2018-11-24
1196829,2011-05-01,2018-11-24,2018-11-24
1204772,2011-06-01,2018-11-24,2018-11-24
1213392,2011-07-01,2018-11-24,2018-11-24
1219407,2011-08-01,2018-11-24,2018-11-24
1219311,2011-09-01,2018-11-24,2018-11-24
1229441,2011-10-01,2018-11-24,2018-11-24
1229838,2011-11-01,2018-11-24,2018-11-24
1239626,2011-12-01,2018-11-24,2018-11-24
1251739,2012-01-01,2018-11-24,2018-11-24
1261910,2012-02-01,2018-11-24,2018-11-24
1268245,2012-03-01,2018-11-24,2018-11-24
1270092,2012-04-01,2018-11-24,2018-11-24
1261472,2012-05-01,2018-11-24,2018-11-24
1245918,2012-06-01,2018-11-24,2018-11-24
1247953,2012-07-01,2018-11-24,2018-11-24
1260144,2012-08-01,2018-11-24,2018-11-24
1275699,2012-09-01,2018-11-24,2018-11-24
1272142,2012-10-01,2018-11-24,2018-11-24
1283705,2012-11-01,2018-11-24,2018-11-24
1285434,2012-12-01,2018-11-24,2018-11-24
1292107,2013-01-01,2018-11-24,2018-11-24
1310494,2013-02-01,2018-11-24,2018-11-24
1292853,2013-03-01,2018-11-24,2018-11-24
1283760,2013-04-01,2018-11-24,2018-11-24
1297785,2013-05-01,2018-11-24,2018-11-24
1296462,2013-06-01,2018-11-24,2018-11-24
1297551,2013-07-01,2018-11-24,2018-11-24
1304757,2013-08-01,2018-11-24,2018-11-24
1304828,2013-09-01,2018-11-24,2018-11-24
1310604,2013-10-01,2018-11-24,2018-11-24
1323392,2013-11-01,2018-11-24,2018-11-24
1321509,2013-12-01,2018-11-24,2018-11-24
1311129,2014-01-01,2018-11-24,2018-11-24
1326186,2014-02-01,2018-11-24,2018-11-24
1337648,2014-03-01,2018-11-24,2018-11-24
1345367,2014-04-01,2018-11-24,2018-11-24
1347691,2014-05-01,2018-11-24,2018-11-24
1349310,2014-06-01,2018-11-24,2018-11-24
1355758,2014-07-01,2018-11-24,2018-11-24
1356607,2014-08-01,2018-11-24,2018-11-24
1350907,2014-09-01,2018-11-24,2018-11-24
1342682,2014-10-01,2018-11-24,2018-11-24
1335236,2014-11-01,2018-11-24,2018-11-24
1321132,2014-12-01,2018-11-24,2018-11-24
1292403,2015-01-01,2018-11-24,2018-11-24
1285481,2015-02-01,2018-11-24,2018-11-24
1295684,2015-03-01,2018-11-24,2018-11-24
1298998,2015-04-01,2018-11-24,2018-11-24
1304607,2015-05-01,2018-11-24,2018-11-24
1308569,2015-06-01,2018-11-24,2018-11-24
1309117,2015-07-01,2018-11-24,2018-11-24
