value,date,realtime_start,realtime_end
802948,1992-01-01,2018-11-24,2018-11-24
809329,1992-02-01,2018-11-24,2018-11-24
813301,1992-03-01,2018-11-24,2018-11-24
819247,1992-04-01,2018-11-24,2018-11-24
815688,1992-05-01,2018-11-24,2018-11-24
812610,1992-06-01,2018-11-24,2018-11-24
817899,1992-07-01,2018-11-24,2018-11-24
820061,1992-08-01,2018-11-24,2018-11-24
823912,1992-09-01,2018-11-24,2018-11-24
844117,1992-10-01,2018-11-24,2018-11-24
850772,1992-11-01,2018-11-24,2018-11-24
823633,1992-12-01,2018-11-24,2018-11-24
830472,1993-01-01,2018-11-24,2018-11-24
837696,1993-02-01,2018-11-24,2018-11-24
845466,1993-03-01,2018-11-24,2018-11-24
851007,1993-04-01,2018-11-24,2018-11-24
848150,1993-05-01,2018-11-24,2018-11-24
840682,1993-06-01,2018-11-24,2018-11-24
841820,1993-07-01,2018-11-24,2018-11-24
843790,1993-08-01,2018-11-24,2018-11-24
851014,1993-09-01,2018-11-24,2018-11-24
872794,1993-10-01,2018-11-24,2018-11-24
881832,1993-11-01,2018-11-24,2018-11-24
850662,1993-12-01,2018-11-24,2018-11-24
857823,1994-01-01,2018-11-24,2018-11-24
867791,1994-02-01,2018-11-24,2018-11-24
869132,1994-03-01,2018-11-24,2018-11-24
876216,1994-04-01,2018-11-24,2018-11-24
883463,1994-05-01,2018-11-24,2018-11-24
879098,1994-06-01,2018-11-24,2018-11-24
886582,1994-07-01,2018-11-24,2018-11-24
894296,1994-08-01,2018-11-24,2018-11-24
903536,1994-09-01,2018-11-24,2018-11-24
932673,1994-10-01,2018-11-24,2018-11-24
944083,1994-11-01,2018-11-24,2018-11-24
913178,1994-12-01,2018-11-24,2018-11-24
930073,1995-01-01,2018-11-24,2018-11-24
943250,1995-02-01,2018-11-24,2018-11-24
951783,1995-03-01,2018-11-24,2018-11-24
964551,1995-04-01,2018-11-24,2018-11-24
966416,1995-05-01,2018-11-24,2018-11-24
959054,1995-06-01,2018-11-24,2018-11-24
963639,1995-07-01,2018-11-24,2018-11-24
966512,1995-08-01,2018-11-24,2018-11-24
974748,1995-09-01,2018-11-24,2018-11-24
1005190,1995-10-01,2018-11-24,2018-11-24
1013264,1995-11-01,2018-11-24,2018-11-24
971548,1995-12-01,2018-11-24,2018-11-24
985288,1996-01-01,2018-11-24,2018-11-24
992520,1996-02-01,2018-11-24,2018-11-24
989270,1996-03-01,2018-11-24,2018-11-24
997607,1996-04-01,2018-11-24,2018-11-24
993342,1996-05-01,2018-11-24,2018-11-24
981384,1996-06-01,2018-11-24,2018-11-24
987780,1996-07-01,2018-11-24,2018-11-24
989675,1996-08-01,2018-11-24,2018-11-24
996161,1996-09-01,2018-11-24,2018-11-24
