value,date,realtime_start,realtime_end
.,1991-05-01,2018-11-24,2018-11-24
.,1991-06-01,2018-11-24,2018-11-24
.,1991-07-01,2018-11-24,2018-11-24
.,1991-08-01,2018-11-24,2018-11-24
.,1991-09-01,2018-11-24,2018-11-24
.,1991-10-01,2018-11-24,2018-11-24
.,1991-11-01,2018-11-24,2018-11-24
.,1991-12-01,2018-11-24,2018-11-24
808292,1992-01-01,2018-11-24,2018-11-24
809600,1992-02-01,2018-11-24,2018-11-24
812725,1992-03-01,2018-11-24,2018-11-24
815453,1992-04-01,2018-11-24,2018-11-24
815016,1992-05-01,2018-11-24,2018-11-24
820447,1992-06-01,2018-11-24,2018-11-24
825098,1992-07-01,2018-11-24,2018-11-24
826136,1992-08-01,2018-11-24,2018-11-24
827513,1992-09-01,2018-11-24,2018-11-24
827914,1992-10-01,2018-11-24,2018-11-24
829839,1992-11-01,2018-11-24,2018-11-24
835800,1992-12-01,2018-11-24,2018-11-24
835983,1993-01-01,2018-11-24,2018-11-24
838089,1993-02-01,2018-11-24,2018-11-24
844806,1993-03-01,2018-11-24,2018-11-24
846782,1993-04-01,2018-11-24,2018-11-24
847279,1993-05-01,2018-11-24,2018-11-24
849135,1993-06-01,2018-11-24,2018-11-24
849450,1993-07-01,2018-11-24,2018-11-24
850877,1993-08-01,2018-11-24,2018-11-24
855018,1993-09-01,2018-11-24,2018-11-24
855322,1993-10-01,2018-11-24,2018-11-24
859037,1993-11-01,2018-11-24,2018-11-24
863125,1993-12-01,2018-11-24,2018-11-24
863021,1994-01-01,2018-11-24,2018-11-24
867670,1994-02-01,2018-11-24,2018-11-24
868751,1994-03-01,2018-11-24,2018-11-24
871989,1994-04-01,2018-11-24,2018-11-24
882927,1994-05-01,2018-11-24,2018-11-24
888689,1994-06-01,2018-11-24,2018-11-24
894473,1994-07-01,2018-11-24,2018-11-24
902148,1994-08-01,2018-11-24,2018-11-24
907994,1994-09-01,2018-11-24,2018-11-24
913439,1994-10-01,2018-11-24,2018-11-24
919492,1994-11-01,2018-11-24,2018-11-24
926395,1994-12-01,2018-11-24,2018-11-24
935639,1995-01-01,2018-11-24,2018-11-24
942713,1995-02-01,2018-11-24,2018-11-24
951538,1995-03-01,2018-11-24,2018-11-24
959239,1995-04-01,2018-11-24,2018-11-24
965634,1995-05-01,2018-11-24,2018-11-24
969558,1995-06-01,2018-11-24,2018-11-24
972934,1995-07-01,2018-11-24,2018-11-24
976097,1995-08-01,2018-11-24,2018-11-24
980029,1995-09-01,2018-11-24,2018-11-24
984223,1995-10-01,2018-11-24,2018-11-24
986767,1995-11-01,2018-11-24,2018-11-24
985385,1995-12-01,2018-11-24,2018-11-24
990730,1996-01-01,2018-11-24,2018-11-24
991277,1996-02-01,2018-11-24,2018-11-24
989146,1996-03-01,2018-11-24,2018-11-24
992111,1996-04-01,2018-11-24,2018-11-24
993761,1996-05-01,2018-11-24,2018-11-24
993127,1996-06-01,2018-11-24,2018-11-24
997782,1996-07-01,2018-11-24,2018-11-24
999951,1996-08-01,2018-11-24,2018-11-24
1000678,1996-09-01,2018-11-24,2018-11-24
1004389,1996-10-01,2018-11-24,2018-11-24
1004457,1996-11-01,2018-11-24,2018-11-24
1004646,1996-12-01,2018-11-24,2018-11-24
1007785,1997-01-01,2018-11-24,2018-11-24
1010716,1997-02-01,2018-11-24,2018-11-24
1010352,1997-03-01,2018-11-24,2018-11-24
1014611,1997-04-01,2018-11-24,2018-11-24
1018535,1997-05-01,2018-11-24,2018-11-24
1024680,1997-06-01,2018-11-24,2018-11-24
1026787,1997-07-01,2018-11-24,2018-11-24
1028019,1997-08-01,2018-11-24,2018-11-24
1034401,1997-09-01,2018-11-24,2018-11-24
1038283,1997-10-01,2018-11-24,2018-11-24
1040118,1997-11-01,2018-11-24,2018-11-24
1045495,1997-12-01,2018-11-24,2018-11-24
1048304,1998-01-01,2018-11-24,2018-11-24
1054991,1998-02-01,2018-11-24,2018-11-24
1060201,1998-03-01,2018-11-24,2018-11-24
1062401,1998-04-01,2018-11-24,2018-11-24
1061497,1998-05-01,2018-11-24,2018-11-24
1061985,1998-06-01,2018-11-24,2018-11-24
1064039,1998-07-01,2018-11-24,2018-11-24
1066363,1998-08-01,2018-11-24,2018-11-24
1070815,1998-09-01,2018-11-24,2018-11-24
1073223,1998-10-01,2018-11-24,2018-11-24
1077587,1998-11-01,2018-11-24,2018-11-24
1077183,1998-12-01,2018-11-24,2018-11-24
1077080,1999-01-01,2018-11-24,2018-11-24
1082721,1999-02-01,2018-11-24,2018-11-24
1090051,1999-03-01,2018-11-24,2018-11-24
1092918,1999-04-01,2018-11-24,2018-11-24
1095905,1999-05-01,2018-11-24,2018-11-24
1098782,1999-06-01,2018-11-24,2018-11-24
1104062,1999-07-01,2018-11-24,2018-11-24
1105895,1999-08-01,2018-11-24,2018-11-24
1112246,1999-09-01,2018-11-24,2018-11-24
1115766,1999-10-01,2018-11-24,2018-11-24
1128337,1999-11-01,2018-11-24,2018-11-24
1137260,1999-12-01,2018-11-24,2018-11-24
1140023,2000-01-01,2018-11-24,2018-11-24
1146435,2000-02-01,2018-11-24,2018-11-24
1150666,2000-03-01,2018-11-24,2018-11-24
1157552,2000-04-01,2018-11-24,2018-11-24
1163974,2000-05-01,2018-11-24,2018-11-24
1174263,2000-06-01,2018-11-24,2018-11-24
1175374,2000-07-01,2018-11-24,2018-11-24
1183268,2000-08-01,2018-11-24,2018-11-24
1183463,2000-09-01,2018-11-24,2018-11-24
1189920,2000-10-01,2018-11-24,2018-11-24
1197038,2000-11-01,2018-11-24,2018-11-24
1195894,2000-12-01,2018-11-24,2018-11-24
1197945,2001-01-01,2018-11-24,2018-11-24
1191600,2001-02-01,2018-11-24,2018-11-24
1186068,2001-03-01,2018-11-24,2018-11-24
1184434,2001-04-01,2018-11-24,2018-11-24
1182109,2001-05-01,2018-11-24,2018-11-24
1173176,2001-06-01,2018-11-24,2018-11-24
1165045,2001-07-01,2018-11-24,2018-11-24
1163600,2001-08-01,2018-11-24,2018-11-24
1157242,2001-09-01,2018-11-24,2018-11-24
1139077,2001-10-01,2018-11-24,2018-11-24
1126312,2001-11-01,2018-11-24,2018-11-24
1118552,2001-12-01,2018-11-24,2018-11-24
1117345,2002-01-01,2018-11-24,2018-11-24
1112144,2002-02-01,2018-11-24,2018-11-24
1108257,2002-03-01,2018-11-24,2018-11-24
1106743,2002-04-01,2018-11-24,2018-11-24
