,part_number,class,descrip,descrip2,cost,onhand,onorder,master_list,custno,revision,aql,syscom,physical,oldcost,owner
44,de32550532ac,,".078 x .468 Headed Pin w/ groove, 8620, B/Oxide","Carb .7-.9% CP, HR15n 88-92, .008 Eff Case Min",0.095,5000,0,Y,14700,P9,1,,N,0,A
45,92ad28d2c17e,,1/4-28 x 1.155 Guard Screw (105400),"410 SS, Rc35-40, Quench & Temper",0.0771,27990,0,Y,14700,27,1,,N,0,A
46,c20aacaf8428,,".1094 x 1.3046 Guard Pin, Front  (Old : FS00187)","AISI 52100, HRC 44-52 , Black Oxide and Oil",0,12000,0,,,,0,,N,0,A
47,33fb917cfbf4,,"#10 SAE F/W, ZINC",,0,0,0,,,,0,,N,0,A
48,5de33b2e59cb,,"3/16 X .600 MALE/FEMALE STANDOFF, STAINLESS","STEEL W/NYLON STRIP/SAMPLE, 1,000 PCS/BOX",0.1015,19493,0,,,,0,,N,0,A
49,122b13831ed5,,".124 x .728 Headed Pin, 8620, Black Oxide","Carb .7-.9 CP, HR15n 88-92 w/ .008 Eff Case Min",0.01,5000,0,Y,14700,3,1,,N,0,A
50,f001cfdd933e,,AN844-16D,,24.5,303,0,Y,17580,12,1,,N,0,A
51,1e275c2cf9d5,,"Screw, Heat Treated, Plated",,0.15815,-58800,0,Y,14700,1,1,,N,0,A
52,027d780537f7,,".195 x .720 Headed Pin, 8620, Black Oxide","Carb .7-.9 CP, HR15n 88-92, .0008 Eff Min Case",0.105,32480,0,Y,14700,P5,1,,N,0,A
53,a015288d167c,,1/4-20 X 2 1/4 UNSLOTTED HEX  WASHER HD FULL,"BODIED TAPTITE, BLACK PHOSPHATE + WAX TO PRI",0.03175,91500,0,Y,60,G,1,,N,0,A
54,69541537a132,,Artemis Lid,,0,0,0,,,,0,,N,0,C
55,4.17084E+11,,"3/8-16 X 1 HHCS, 316SS",,0.09111,29200,0,,,,0,,N,0,A
56,920240abb51c,,"1/2 X 1 1/4 FLAT HD ANNEALED RIVET, PLAIN",(400 per Box),0.10575,32876,0,,,,0,,N,0,A
57,de88b086daf7,,Fitting  ; Breather,,3.06519,4015,0,Y,17580,A,1,,N,0,A
58,33348e177fd8,,MS16629-4100,(100/BAG),0.6774,8277,0,Y,13702,E,4,,N,0,A
59,18d9f0804433,,GROVTEC P/N 1215617,,0,3200,0,,,,0,,N,0,A
60,4a90f1cf927b,,"Kit : (4) 106124-47, (4) 443185",HTS : 7318.15.2000,0.273,40200,0,,,,0,,N,0,A
61,ae8b5b91f6e2,,POWER AIRE P/N F-950-43-B85,COO-United States,1.33751,26923,0,,,,0,,N,0,A
62,42f166a291cc,,Special Screw  13/16-20 Thread,Steel w/zinc plate with Knurl,0.622,11512,0,,,,0,,N,0,A
63,58eaee85000f,,"Screw, Heat Treated, Plated, Nyloked",,0.155,25750,0,Y,14700,1,1,,N,0,A
64,6edaa60d976b,,"Heavy Duty Lift Handle, w/ EJ Logo, 316SS",HTS : 7325.99.5000,4.2508,4365,0,,,,0,,N,0,A
65,0b313c3055e3,,TRIGGER PLATE BUSHING-FRONT,HTS: 7318.29.0000,0,0,0,,,,0,,N,0,A
66,75cc4c59d94e,,FLOW WRIGHT P/N 304,,0.468,1800,0,,,,0,,N,0,A
67,b95ed91de35b,,WRIGHTWAY#  W1436B,,1.11529,3400,0,,,,0,,N,0,A
68,f847e811e168,,"3 part assembly, 316SS",HTS : 7318.29.0000,6.7,450,0,,,,0,,N,0,A
69,9ac5e733311b,,"Screw, Heat Treated, Plated",,0.11971,18533,0,Y,14700,1,1,,N,0,A
70,e49649989903,,DOUBLE PAYLOAD CLAMP P/N TA16300026HA01,(MFG: ESTERLINE TECHNOLOGIES CORPORATION),24.80789,190,0,Y,13702,LR,4,,N,0,A
71,5477fd01f598,,"3/8-24 X 5 HHCS GR 2, ZINC",HTS: 7318.15.2065,0,10200,0,,,,0,,N,0,A
72,c15662c4c699,,M4 X 12MM Captive Shoulder Screw Philips #2 Drive,"300 Series Stainless Steel, HTS: 7318.15.2010",0.107,25100,0,,,,0,,N,0,A
73,d154c59c55e2,,"3/8 Butt Hinge 4-Hole, 316 SS",HTS : 8302.10.6030,3.70438,2040,0,,,,0,,N,0,A
74,bfacabb30d4b,,"6-40 Socket Pull Screw, 416 Stainless",Hardness 66.3-70.4 ; HTS 7318.15.6010,0.135,1500,0,,,,0,,N,0,A
75,12d8f9bc67bc,,.23 X 1.41 FRONT TAKEDOWN PIN STEEL,HR15N 88-92 PHOSPHATE ; Rev 01,0.00701,12692,0,Y,14700,1,1,,N,0,A
