part_number,cost,qty_sold,Label
8d97ca5be018,0.22306,47,Standard
c47ab4b13f10,1.49173,24,Custom
f55aa125b065,0.02463,98,Overseas
827fc1945127,2.51,77,Custom
2f5df1d78d8e,0.0165,22,Overseas
f99c778bad3c,0.01155,7,Overseas
2ec9544f2fe7,0.014,33,Overseas
57467007d0dc,0.21833,59,Standard
572ecaa2b6c8,0.0789,12,Overseas
0a545314366f,0.13,66,Overseas
d0c3aeb8eea5,0,33,Overseas
cdc8b4a07ba3,0.0135,67,Overseas
d09de6f0a0a2,0.168,97,Standard
3953aadfe338,0.555,18,Standard
3489aedf805b,9.7,98,Custom
8f82ce2df634,0.073,89,Overseas
951a175ba49f,0.085,35,Overseas
9e3fe482a168,0.55,59,Standard
f10f21158255,3.03564,21,Custom
f6d2b2b03f0d,0.14,14,Overseas
b478407e4cf6,0.04406,87,Overseas
4e74ba2fbfb5,0.0736,37,Overseas
d1bb6f029e9f,6.5,49,Custom
5cc9501089b1,0.0614,35,Overseas
de9c3f9ab444,0,69,Overseas
2438cbc1eade,0,90,Overseas
72aa850366f1,0.358,66,Standard
a567debef698,0.31007,24,Standard
65f252c7f1cc,0.00584,56,Overseas
a4891e9ece9f,0,71,Overseas
fc027d0ec859,0.00403,21,Overseas
8d9064422212,0.0608,68,Overseas
0525cd7aa9cd,5.9561,36,Custom
732b6f6c7db7,0,33,Overseas
8897a6542871,0,15,Overseas
575247f7b834,0,29,Overseas
4752844167a2,0,67,Overseas
e00f6fb01ac0,0.0026,79,Overseas
811f4fabbdf7,0.0593,37,Overseas
a5c300dc216b,3.05,31,Custom
bd25aaa72d40,0.19556,40,Standard
12faa25ea0ad,0.12,21,Standard
a10c288c458c,0.021,90,Overseas
fd48136d96d1,0.05975,33,Overseas
3f5c8828c5df,0.017,27,Overseas
8ae01a476528,0.01089,86,Overseas
d7cb637ac3b2,0.57,68,Standard
87c829f21f36,0.34974,86,Standard
f841ea6bc1b5,8.6,40,Custom
6b469e4f3773,0.00462,72,Overseas
556b94ced799,0.07489,26,Overseas
5da9caba7d70,0.05279,54,Overseas
0f4ebe829eaa,0.07,6,Overseas
7d03fb0d20f6,9.0735,91,Custom
36597c586f6e,0.06475,87,Overseas
b13bd65cbe18,0.2757,30,Standard
050bd40f909d,0.25,30,Standard
eaa0689a095d,0.945,60,Custom
e1eb2c49c43f,0.058,85,Overseas
d1768ddf0a05,0.118,69,Overseas
6677a2b159df,2.91,14,Custom
6655c81b1693,0.007,99,Overseas
e053abf6f3a5,0.07,74,Overseas
3f0370028dd5,1.05,44,Custom
332e18db9575,0.4,26,Standard
5a77a7855451,0.07338,71,Overseas
733fbbd5a619,0.03,82,Overseas
37937190792d,0.05,14,Overseas
672e9744c47d,0,30,Overseas
d8eec84fc986,0.0695,97,Overseas
152b67a18ba0,2.73621,48,Custom
2a97e38b079b,0.175,93,Standard
44952b0a33a6,1.4,9,Custom
a42345a8afeb,0.15,94,Overseas
fcf731e2be9a,0,33,Overseas
3800ea5f8d55,1.17,67,Custom
7.16E+11,0.1202,33,Standard
22a8a044d1cf,0.53,78,Standard
cb86ae558f91,0.02108,96,Overseas
6d6c3945bfc6,0.0492,48,Overseas
bec8eff87645,0.04792,64,Overseas
9a2e89d3870f,0,44,Overseas
01957f152c26,0.08,39,Overseas
f1e4050e1dd3,0.102,25,Overseas
55324caadad8,0.09755,1,Overseas
7a64f337ef10,0.0698,2,Overseas
f8523444ef7f,0.04358,29,Overseas
f99269954fd7,0.135,88,Standard
a53ef6f9411b,0.65,89,Custom
939ca3c63308,0.02552,51,Overseas
579482799b7d,0.294,55,Standard
5979a65f4575,0.02355,25,Overseas
f5397af58d38,0.11656,98,Overseas
ed18aaf3ddd5,0.0349,85,Overseas
9176c17c6db6,0.328,61,Standard
253825afc438,0.47,17,Standard
ee00af379552,0.14,72,Overseas
be9cef09171f,1.95,67,Custom
00097951c541,0.11363,37,Overseas
7a3c66afabf0,0.02672,6,Overseas
5d806e407f54,0.00665,26,Overseas
2943ef11b126,0,79,Overseas
b4fc24cb568e,0.084,54,Overseas
31cb54fdb312,0.04348,15,Overseas
e91760134ba7,0.03094,23,Overseas
02e44b0e26ff,0.03653,77,Overseas
f11968a004e9,0.12,71,Overseas
e611ff892e80,0.0021,91,Overseas
b1d096a6ca58,0.0589,9,Overseas
9478a6455dec,1.37,4,Custom
064a676c5e8c,0.05508,26,Overseas
f6b9ad0c2e91,0.55,51,Standard
9f4359993300,0.13,2,Overseas
011096e54c5c,0.02635,5,Overseas
755605345a8c,0.0129,48,Overseas
7cd71778c5a8,0.75,84,Custom
2769fb4fa27a,1.09621,84,Custom
de8f966bddcb,0.00805,77,Overseas
7163370a51b9,1.11,73,Custom
731ae3412fc7,0.458,14,Standard
b904650eea83,0.37783,44,Standard
70333cfbeced,0,22,Overseas
fb9e83cd953f,0.036,41,Overseas
e656848a35c8,0.03811,72,Overseas
781c2e4fefb1,0.14,26,Overseas
dbc05caec3ec,0.03989,50,Overseas
d3cb8c223ea6,0.02274,65,Overseas
7249d3a30d40,0.2128,44,Standard
484b82be7cc8,0.265,64,Standard
63439e06335e,0.0258,47,Overseas
a0044f7e71b3,0.01968,27,Overseas
3de774defbf6,0.02307,93,Overseas
7c045d81fcfb,0,73,Overseas
0326a10e489a,0.25489,41,Standard
28c0af9a2e90,0.097,47,Overseas
79d3954f8442,0.097,20,Overseas
0f8a83720035,0.006,96,Overseas
80eb3f2e8eaa,0.03665,4,Overseas
95c0b84918ea,0.0775,41,Overseas
13558eb22e69,0.31368,52,Standard
16720bfeec15,0.14735,63,Overseas
0e6d9702a77e,0.11,23,Overseas
3961b52b3dc0,6.11523,21,Custom
c7fac91e6a66,0.00441,52,Overseas
e48c090834b9,0.54,31,Standard
4d382de86140,0.485,23,Standard
7aa2c7eb32f2,1.4,44,Custom
a676ce3f436f,0.06,20,Overseas
d0b9113a74fc,0.3029,64,Standard
1dc98345cbcb,0,17,Overseas
5fe347e6f9e9,0,28,Overseas
bda19b6f8f25,0.45,71,Standard
d4a8d72f28b2,0.02293,9,Overseas
2b9344957893,0.01576,71,Overseas
6ff069921fb2,0,17,Overseas
d77ad3c4bfcf,0.049,98,Overseas
546561f39a3c,0.01945,90,Overseas
d4035a052b1c,0.03051,44,Overseas
3c78fedccdc6,0.0661,56,Overseas
9195add5b7b1,0.05229,58,Overseas
f847a77a5fc3,0.0236,76,Overseas
0904221af425,0.0165,74,Overseas
276e64112854,0.0261,54,Overseas
5608d5c2bb38,0.01057,96,Overseas
60dac8e8335e,0.041,97,Overseas
59166cbed4bf,0.00367,62,Overseas
8811887fc596,5.89186,42,Custom
a190b1f1bb4c,0.014,96,Overseas
841e5c7a1291,0.155,48,Standard
70273f20532f,0.01067,27,Overseas
1515bd30998e,0,88,Overseas
b75abbebcbdc,0.09893,71,Overseas
4cce8add7e3c,0.12092,59,Overseas
23bf86442add,0.0052,43,Overseas
fb742ffe54e1,0.16141,6,Standard
396b316bf4dd,0.055,91,Overseas
56eb68f2d495,0.09693,89,Overseas
5b9cec37c2ed,0,42,Overseas
51da3d6506e8,0.0218,2,Overseas
7e8b8dcad83a,4.52,47,Custom
9f51161b1080,0,63,Overseas
5bd618149e6d,0.0165,58,Overseas
c5cbb0bbe2d1,0.3,58,Standard
5c5c25a3ef47,0.068,90,Overseas
8300372f594c,0.045,84,Overseas
2d7098f60d26,0.02413,12,Overseas
28598fd1c8bd,0.79451,9,Custom
c64477914aee,0.0032,61,Overseas
094035fa18f4,1.27,11,Custom
9ef00a79f1fb,0.0575,11,Overseas
17e4062e16f5,0.0626,52,Overseas
99a58e42e60a,0.0345,37,Overseas
6e6ca0719131,0.17325,67,Standard
d431b115650a,0.0086,96,Overseas
b7c860e41630,0.00665,5,Overseas
48882fce75c5,0.49,80,Standard
07b117e04d49,0,3,Overseas
8898720206b8,0.00055,5,Overseas
b78f33ca6d03,5,66,Custom
0ed0258bfcb2,0.05,55,Overseas
449cac0b61bf,0.49,8,Standard
e7f2d04e6d17,0.13786,29,Overseas
787ecf8bff93,0.0255,85,Overseas
cdfc8bda8a3d,0.00768,18,Overseas
d69aa9d26637,0.01858,37,Overseas
0505db16f2e7,1.04655,49,Custom
e96fb84269d0,0.05,89,Overseas
3cf5898501ba,0.029,34,Overseas
2ad209b0007f,0.0384,79,Overseas
937a08bc223d,0.008,21,Overseas
995fa29aad9d,0.403,57,Standard
8becfc5822ae,0.0062,21,Overseas
38fd22f3134b,1.5,54,Custom
660e934cb97b,0.0286,18,Overseas
6.85E+11,0.00199,91,Overseas
7137ae8c910c,0.0123,63,Overseas
367af976daa3,0.00621,41,Overseas
e47f95967d0f,0,25,Overseas
a096cc0ad338,0.10844,49,Overseas
0c212f89ff9d,0.00735,57,Overseas
04e9a537376b,0,12,Overseas
250e32643d2e,0.43,56,Standard
1722ab9a4179,0.1615,42,Standard
84ab979d848e,0.00578,33,Overseas
98ef9f2bc993,1.1279,46,Custom
e28a4aadc237,0.22,20,Standard
14c40cd74cdf,4.47083,7,Custom
c1e428d3ee6b,0.35,85,Standard
20d00c8df8e0,0.157,64,Standard
bfb132f2fd35,0.05144,61,Overseas
2014df50d53e,0.7906,48,Custom
dac49cd7fd39,0.015,79,Overseas
eec9ad4ba80e,0.106,91,Overseas
9e351c04ba09,0.115,31,Overseas
8e5e20e6ea3c,1.05,78,Custom
d51f2b177e5f,0.972,28,Custom
a4a14a59c271,0.185,19,Standard
e88922be67c0,0.485,49,Standard
24ab2a8b3159,0.45,27,Standard
4e8d4c290c74,0.01983,59,Overseas
3190cf97b61a,0.044,24,Overseas
5ad6b9398912,0.0515,37,Overseas
4b12fe8be4dc,0.025,14,Overseas
fbe40df6b32f,0,64,Overseas
5a2a4bbc7921,0.056,12,Overseas
8462ca139dc2,0.0195,45,Overseas
0dfb6ce4b633,0.35456,86,Standard
b64b2d6a2d9e,0,100,Overseas
591384b4552c,5.27241,37,Custom
c30c9a1a4629,0.134,29,Overseas
e780603f2250,0.386,57,Standard
00a51b2e743c,0.0218,96,Overseas
a406535ee1b1,0.019,91,Overseas
bb1ddd5e59f4,0,94,Overseas
7f68c062d8ad,0.02226,70,Overseas
fe7c8b931420,0.045,87,Overseas
3057b09c10ef,7.27,26,Custom
8d0955b03152,0.666,40,Custom
8faefe8b1e79,1.06,15,Custom
9e8845bead62,0.01655,34,Overseas
eba34bfd0286,0.03746,13,Overseas
0527d53ccb16,0.49249,79,Standard
e8b796c489f2,0.03781,69,Overseas
b8ce64ba102d,0.0448,20,Overseas
3d6cddd07d12,0,17,Overseas
b9361b1cdb6d,3.79,66,Custom
06dcdb759d72,0,42,Overseas
265ae0a79af2,6.76619,61,Custom
424470757e7b,0.00405,67,Overseas
f72e950c1e41,0.99,3,Custom
eb2d10ba74b9,0.01804,55,Overseas
0c22c034fa2e,1.3,33,Custom
ec61b62992dc,0.021,16,Overseas
dd536c7989af,0.38629,87,Standard
2adb6bde92b8,0,18,Overseas
2eb59592a2c6,3.11,69,Custom
b8cef2f7108b,0,14,Overseas
51fae80cff78,0.0225,20,Overseas
52e94005983d,0.4,43,Standard
87cec1984dc5,0.0063,63,Overseas
02e1594926ca,1.04,52,Custom
ad7491824177,0.1905,38,Standard
9a3fcc51573a,0.0109,27,Overseas
55ca61da9f3c,2.05,42,Custom
5994b97061e2,0.3,86,Standard
ebfe7f1fd079,0.01355,87,Overseas
5d82759c26db,0.02585,27,Overseas
41abe4583e74,0.415,28,Standard
